n,k,bfb,bps,bnh,wfb,wps,wnh
1,0.001,0.8648818057,0.873724524,0.7890289851,0.8648680555,0.8737658965,0.7837793029
1,0.01,0.8685637309,0.8732689145,0.7708873138,0.868583633,0.8732435892,0.7740494109
1,0.1,0.8678956478,0.8691411121,0.7822515737,0.8678882785,0.8691028104,0.7655845637
1,1,0.8541254368,0.8558772975,0.7306478715,0.8541326477,0.8559081822,0.7250826109
2,0.001,0.8251593449,0.8351743194,0.7276194868,0.864397858,0.8742156497,0.785175774
2,0.01,0.8292952369,0.8349699734,0.7391682683,0.8682539596,0.8735625032,0.7711092374
2,0.1,0.828650859,0.8304015525,0.730753358,0.8681707622,0.8696193876,0.7638397054
2,1,0.7779949988,0.7793329946,0.6200065158,0.8502569647,0.8516679482,0.7559188504
3,0.001,0.8102088429,0.820776046,0.7268271998,0.8636674374,0.8742539015,0.7666125931
3,0.01,0.8146957821,0.8205105966,0.7321800598,0.8678526277,0.8735759698,0.7883619106
3,0.1,0.8122224138,0.8138649873,0.6888138714,0.8673993363,0.8688986479,0.7689425225
3,1,0.7518493231,0.7533334094,0.5689263224,0.8447542229,0.8462812289,0.7002210086
4,0.001,0.8071115338,0.8178988732,0.7245958115,0.8630637743,0.8743707114,0.7784967274
4,0.01,0.8115298484,0.8176269663,0.7184194491,0.8671246537,0.8736457073,0.7704765207
4,0.1,0.8090345763,0.8107298519,0.6945148698,0.8663911887,0.8678691127,0.7603143338
4,1,0.746649164,0.7479333677,0.5574225781,0.8400929164,0.840238832,0.7055942339
