n,k,bfb,bps,bnh,wfb,wps,wnh
1,0.001,0.9335588134,0.9362045045,0.7971004436,0.9335466405,0.9362143022,0.8046435409
1,0.01,0.9345234906,0.935805748,0.7946493973,0.93453911,0.9358036356,0.8000102189
1,0.1,0.9315948107,0.9324223978,0.8122153588,0.9315887182,0.9324144559,0.7893411728
1,1,0.9214479271,0.9229401022,0.7680087443,0.9214598645,0.9229440814,0.7676627813
2,0.001,0.8966581977,0.9002976605,0.738182538,0.9329499179,0.9366152601,0.8121941527
2,0.01,0.8981600394,0.9001262419,0.7670239296,0.9343439758,0.9361061933,0.7847624294
2,0.1,0.8951215064,0.896162967,0.7572594355,0.9315857819,0.9325836004,0.7888664117
2,1,0.8614239204,0.8616104065,0.6854254672,0.9179657969,0.9190816306,0.8148153644
3,0.001,0.8820567671,0.8861931282,0.7420189435,0.9323328267,0.9367013244,0.7880223563
3,0.01,0.8837655186,0.8858528161,0.7618993425,0.9340221819,0.9360924268,0.8263681525
3,0.1,0.8789858648,0.8798286324,0.7152406482,0.9308542746,0.9319000402,0.8094908512
3,1,0.8356416608,0.8357980087,0.6181787177,0.9132264375,0.9144800197,0.7409765225
4,0.001,0.8791315868,0.8834375998,0.737765198,0.9317548525,0.9368603427,0.8046702946
4,0.01,0.8806974597,0.8830052066,0.7584733789,0.9333738235,0.9361626114,0.7856767665
4,0.1,0.8758731524,0.876862655,0.7181583649,0.9298443126,0.9308494796,0.7800034376
4,1,0.8308275383,0.8307634852,0.6097896038,0.9093694845,0.9096264103,0.7630223085
