n,k,bfb,bps,bnh,wfb,wps,wnh
1,0.001,0.8722329478,0.8746257103,0.7995020006,0.8722117048,0.8746561457,0.8052451395
1,0.01,0.8723039825,0.8737604657,0.7937281484,0.8723160542,0.8737288976,0.8008671862
1,0.1,0.8661330777,0.8672799738,0.7954515692,0.8661214656,0.8672353894,0.7870819874
1,1,0.8424172919,0.8437473105,0.7468875488,0.8424648687,0.8437803171,0.7442892651
2,0.001,0.8318902478,0.835558115,0.7350424911,0.8721245112,0.8755231037,0.8054111232
2,0.01,0.8326920308,0.835050594,0.7501461218,0.8724377137,0.8743398618,0.7873161801
2,0.1,0.8262611354,0.8277260415,0.7437634185,0.8664929572,0.8678116197,0.78761081
2,1,0.7635830513,0.7639349177,0.6385144397,0.8376608937,0.83844608,0.7593153398
3,0.001,0.8177612225,0.8218308171,0.7442832797,0.8713515703,0.8755307999,0.8017570633
3,0.01,0.818883112,0.821279201,0.7544381745,0.8721209609,0.8743957807,0.8125618257
3,0.1,0.8105066126,0.8118366706,0.7152419192,0.8656960971,0.8670443082,0.7944529438
3,1,0.7372122162,0.7375808574,0.5964352087,0.8311570751,0.8319419699,0.7134059005
4,0.001,0.814699342,0.8188077764,0.7442968834,0.8707388277,0.8756209365,0.8042249637
4,0.01,0.8155768956,0.8182316053,0.7443784454,0.8715522828,0.8744034315,0.7967960893
4,0.1,0.8070557405,0.8084209467,0.7162025696,0.8648138065,0.8660671775,0.7789510934
4,1,0.7313480661,0.7314741018,0.5818197641,0.8257202788,0.824780058,0.7216845363
