n,k,bfb,bps,bnh,wfb,wps,wnh
1,0.001,0.9328626113,0.9355044725,0.797469208,0.9328467443,0.935512406,0.8067315893
1,0.01,0.9337987663,0.9350800294,0.7947718122,0.9338106666,0.9350760626,0.800360975
1,0.1,0.9305896587,0.931438545,0.81194391,0.9305817251,0.9314306115,0.7904321783
1,1,0.9185822805,0.920069815,0.76863484,0.9185941808,0.9200737817,0.7658700093
2,0.001,0.8973482219,0.9010333406,0.7392847934,0.9323985006,0.9360598187,0.81237232
2,0.01,0.8988476566,0.9008350027,0.7691505187,0.9336916639,0.9354489379,0.7853507606
2,0.1,0.8953807097,0.8964438009,0.7589281818,0.9305658581,0.9315773815,0.7896665939
2,1,0.8600963922,0.8602193617,0.6957178841,0.9151510343,0.9162379262,0.8130427022
3,0.001,0.8832463952,0.887455126,0.7436561614,0.9317558857,0.9361272536,0.805783534
3,0.01,0.8849679684,0.8870862175,0.7721414546,0.9333663897,0.9354370376,0.8272912989
3,0.1,0.8797477142,0.8806243678,0.7169043416,0.9298240743,0.9308871656,0.811467899
3,1,0.8344433646,0.8345663341,0.6279458141,0.91035919,0.9115888851,0.7402645828
4,0.001,0.8804061961,0.8847815308,0.7480552966,0.9311450049,0.9362898907,0.8055732958
4,0.01,0.881969099,0.8843134533,0.7613003035,0.9326999742,0.9354886055,0.7942918344
4,0.1,0.8766496757,0.8776730994,0.7201332831,0.9288244511,0.9298082072,0.7801424066
4,1,0.8295801186,0.8294650826,0.613078403,0.9064241655,0.9065828358,0.765005256
