n,k,bfb,bps,bnh,wfb,wps,wnh
1,0.001,0.8595280965,0.8736479304,0.8216973118,0.8595219499,0.8736973295,0.8041825657
1,0.01,0.8656940121,0.8735724169,0.8048289895,0.8657208906,0.873551332,0.8045906559
1,0.1,0.870297195,0.8718610492,0.8122585859,0.8702941233,0.8718267232,0.8012424609
1,1,0.869132102,0.8714144849,0.7863813649,0.8690980885,0.8714415373,0.7864294693
2,0.001,0.8211759341,0.8358445099,0.7754559062,0.8585988778,0.8736630991,0.8124432071
2,0.01,0.8274166745,0.8359157081,0.7720661102,0.8649369758,0.8735430275,0.8090898482
2,0.1,0.8322473489,0.8343017963,0.7602962861,0.8705143924,0.8723050735,0.7954415864
2,1,0.7975285883,0.7998813685,0.6754778577,0.8664553621,0.8687238399,0.7959617451
3,0.001,0.8060602481,0.8210931074,0.758015428,0.8579575465,0.8737293541,0.7915772561
3,0.01,0.8125284069,0.8210923415,0.7563310891,0.86446742,0.8735097455,0.8079022596
3,0.1,0.8155252676,0.8174453703,0.7190055988,0.8697830705,0.8716691294,0.7929770226
3,1,0.772181888,0.7748020276,0.6217878745,0.8626303267,0.8652653733,0.7592937671
4,0.001,0.803257013,0.8185863744,0.7550442214,0.8574287081,0.8738617648,0.8030331794
4,0.01,0.8097510693,0.8185968509,0.7463717015,0.8636323439,0.8736455411,0.8001125014
4,0.1,0.8128018983,0.8147928236,0.7269104858,0.8686775399,0.8706450061,0.7939589721
4,1,0.7680744641,0.7706161274,0.6224511902,0.8593955768,0.8615453818,0.7563127401
