n,k,bfb,bps,bnh,wfb,wps,wnh
1,0.001,0.9342560555,0.936905585,0.7967324682,0.9342475877,0.9369172525,0.8025721682
1,0.01,0.9352493407,0.9365325941,0.7945274544,0.9352686908,0.9365323418,0.7996625899
1,0.1,0.9326021364,0.9334083313,0.8124872606,0.9325978931,0.9334003809,0.7882651967
1,1,0.9243315093,0.9258283541,0.7674165702,0.9243434841,0.9258323457,0.7694641098
2,0.001,0.8959692338,0.8995631809,0.7370847288,0.9335019878,0.9371713612,0.8120165034
2,0.01,0.8974734735,0.8994185955,0.76491391,0.9349971998,0.936764373,0.7841778681
2,0.1,0.8948624531,0.8958823089,0.7556000557,0.9326079439,0.9335919954,0.7880722254
2,1,0.8627555529,0.8630059575,0.6760983653,0.9207979278,0.9219430419,0.8165959121
3,0.001,0.8808703392,0.8849347146,0.7403895152,0.9329104827,0.9372760997,0.7719089999
3,0.01,0.8825663321,0.8846228398,0.752651704,0.9346788963,0.936748735,0.8254496716
3,0.1,0.8782253338,0.8790343339,0.7135849662,0.9318867604,0.9329151214,0.8075456476
3,1,0.8368434036,0.8370333242,0.6093521987,0.9161118033,0.9173895513,0.7417004299
4,0.001,0.8778606629,0.8820977454,0.7284194669,0.9323654996,0.9374314902,0.8037792021
4,0.01,0.8794294822,0.8817008251,0.7556829779,0.9340486473,0.9368375893,0.7779349016
4,0.1,0.8750980036,0.876053706,0.7161943603,0.9308664162,0.9318930869,0.7798656516
4,1,0.832078715,0.8320659591,0.6065400142,0.9123340069,0.9126904894,0.761121615
